2013 Lower Weather Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/5/2013 9:00,0,-12.3,28.41,-8.12,85.5,-6999,-6999,1.44
1/5/2013 10:00,0,-11.9,200.1,39.74,83.8,-6999,-6999,1.46
1/5/2013 11:00,0,-10.6,314.3,8.11,80.3,-6999,-6999,1.34
1/5/2013 12:00,0,-9.7,386.2,-52.5,77.7,-6999,-6999,1.37
1/5/2013 13:00,0,-9.3,274.8,-37.55,78.2,-6999,-6999,0.87
1/5/2013 14:00,0,-8.3,306,-21.34,75.2,-6999,-6999,0.87
1/5/2013 15:00,0,-7.9,257.1,-13.87,73.7,-6999,-6999,1.21
1/5/2013 16:00,0,-8,101.3,-13.87,74.2,-6999,-6999,1.21
1/5/2013 17:00,0,-9.2,22.74,-15.37,79.3,-6999,-6999,1.36
1/5/2013 18:00,0,-9.3,0,-10.46,82.1,-6999,-6999,1.35
1/5/2013 19:00,0,-10.1,0,-8.97,84.5,-6999,-6999,1.48
1/5/2013 20:00,0,-9.3,0,-11.11,83.8,-6999,-6999,1.31
1/5/2013 21:00,0,-9.3,0,-10.89,84.2,-6999,-6999,1.48
1/5/2013 22:00,0,-9.1,0,-9.18,84.1,-6999,-6999,1.31
1/5/2013 23:00,0,-8.6,0,-14.95,81.9,-6999,-6999,1.33
1/6/2013 0:00,0,-8,0,-13.66,76.7,-6999,-6999,1.35
1/6/2013 1:00,0,-7.6,0,-9.18,75.4,-6999,-6999,1.35
1/6/2013 2:00,0,-9,0,-4.7,84.3,-6999,-6999,1.35
1/6/2013 3:00,0,-7.6,0,-5.76,76,-6999,-6999,1.35
1/6/2013 4:00,0,-7.9,0,-3.42,75.8,-6999,-6999,1.35
1/6/2013 5:00,0,-8.1,0,-0.64,78.2,-6999,-6999,1.52
1/6/2013 6:00,0,-7.9,0,-10.67,77.3,-6999,-6999,1.35
1/6/2013 7:00,0,-7.8,0,-27.54,76.8,-6999,-6999,1.35
1/6/2013 8:00,0,-8.8,0,-36.51,81.5,-6999,-6999,1.52
1/6/2013 9:00,0,-8.8,24.41,2.14,82.3,-6999,-6999,1.33
1/6/2013 10:00,0,-7.2,86.4,40.14,77.1,-6999,-6999,1.52
1/6/2013 11:00,0,-7.6,178,66.58,82.4,-6999,-6999,1.21
1/6/2013 12:00,0,-7.5,261.8,87.5,82.4,-6999,-6999,1.04
1/6/2013 13:00,0,-5.9,375.7,143.1,72.7,-6999,-6999,0.57
1/6/2013 14:00,0,-5.8,370.6,120.7,66.38,-6999,-6999,0.74
1/6/2013 15:00,0,-5,257.8,80.8,69.7,-6999,-6999,1.25
1/6/2013 16:00,0,-4.4,137.9,28.15,67.25,-6999,-6999,1.63
1/6/2013 17:00,0,-6.1,27.36,-37.12,73.1,-6999,-6999,1.07
1/6/2013 18:00,0,-7.4,0,-13.87,79.9,-6999,-6999,1.54
1/6/2013 19:00,0,-7.4,0,-43.55,81.8,-6999,-6999,1.18
1/6/2013 20:00,0,-7.6,0,-41.21,80.8,-6999,-6999,1.35
1/6/2013 21:00,0,-9.8,0,-47.83,87.8,-6999,-6999,1.32
1/6/2013 22:00,0,-10.4,0,-41.01,90.7,-6999,-6999,1.31
1/6/2013 23:00,0,-9.5,0,-36.31,87.6,-6999,-6999,1.14
1/7/2013 0:00,0,-9.1,0,-39.73,85,-6999,-6999,1.14
1/7/2013 1:00,0,-9.4,0,-39.51,85.4,-6999,-6999,1.14
1/7/2013 2:00,0,-9.5,0,-36.09,85,-6999,-6999,1.14
1/7/2013 3:00,0,-9.1,0,-37.59,83.6,-6999,-6999,1.14
1/7/2013 4:00,0,-9.2,0,-39.51,83.2,-6999,-6999,1.14
1/7/2013 5:00,0,-9.4,0,-36.73,84.7,-6999,-6999,1.14
1/7/2013 6:00,0.1,-8.9,0,-20.93,83.2,-6999,-6999,1.31
1/7/2013 7:00,0.1,-7.6,0,1.07,80.8,-6999,-6999,1.34
1/7/2013 8:00,0.1,-7.3,0,0.85,80.1,-6999,-6999,1.17
1/7/2013 9:00,0.7,-7.1,14.18,-1.92,84.2,-6999,-6999,1.87
1/7/2013 10:00,1.1,-7.1,63.28,-6.62,95.5,-6999,-6999,2.22
1/7/2013 11:00,1.7,-7.4,92,-8.96,96.4,-6999,-6999,3.26
1/7/2013 12:00,2.6,-6.6,73.4,-12.8,96,-6999,-6999,3.77
1/7/2013 13:00,4.5,-5.3,72.1,-15.36,98,-6999,-6999,5.3
1/7/2013 14:00,6.2,-5.6,96.2,5.12,96.4,-6999,-6999,5.99
1/7/2013 15:00,6.8,-5.5,56.08,-38.83,96.6,-6999,-6999,7.38
1/7/2013 16:00,7.6,-4.7,30.66,36.05,97.5,-6999,-6999,8.06
1/7/2013 17:00,7.9,-5.3,10.35,-3.41,97.8,-6999,-6999,8.06
1/7/2013 18:00,8.1,-5.4,0,0.21,98.5,-6999,-6999,4.8
1/7/2013 19:00,8.2,-5.6,0,-24.54,99.1,-6999,-6999,5.81
1/7/2013 20:00,8.3,-5.7,0,3.41,98.4,-6999,-6999,4.79
1/7/2013 21:00,8.3,-6.1,0,-2.56,98.5,-6999,-6999,4.79
1/7/2013 22:00,8.3,-6.2,0,26.03,98.3,-6999,-6999,5.3
1/7/2013 23:00,8.3,-6.8,0,1.49,97.6,-6999,-6999,6.66
1/8/2013 0:00,8.3,-6.7,0,-14.94,98.2,-6999,-6999,6.83
1/8/2013 1:00,8.3,-5.6,0,10.24,99.5,-6999,-6999,7
1/8/2013 2:00,8.3,-4.1,0,4.48,100,-6999,-6999,6.32
1/8/2013 3:00,8.3,-4.4,0,-13.87,99.9,-6999,-6999,6.83
1/8/2013 4:00,8.3,-1,0,-2.56,100,-6999,-6999,6.7
1/8/2013 5:00,8.3,-3.7,0,-3.41,99.7,-6999,-6999,7.72
1/8/2013 6:00,8.3,-2.5,0,-13.22,99.7,-6999,-6999,7.55
1/8/2013 7:00,8.3,-1,0,-8.96,99.5,-6999,-6999,7.38
1/8/2013 8:00,8.3,-0.2,0,-1.92,98.3,-6999,-6999,6.73
1/8/2013 9:00,8.3,0.3,25,-51.38,97.3,-6999,-6999,8.44
1/8/2013 10:00,8.3,1,75.1,20.04,98.3,-6999,-6999,8.44
1/8/2013 11:00,8.3,1.5,136.6,17.9,94.9,-6999,-6999,7.95
1/8/2013 12:00,8.3,1.1,164.4,9.17,96.8,-6999,-6999,7.94
1/8/2013 13:00,8.3,0.8,184.6,39.43,94.3,-6999,-6999,7.1
1/8/2013 14:00,8.3,1,137.5,35.59,88.7,-6999,-6999,6.77
1/8/2013 15:00,8.3,1,246.9,110.2,88.7,-6999,-6999,6.76
1/8/2013 16:00,8.3,3.6,111.2,25.15,79.3,-6999,-6999,6.09
1/8/2013 17:00,8.3,3.9,22.55,6.18,77.8,-6999,-6999,5.41
1/8/2013 18:00,8.3,2.1,0.05,4.69,87,-6999,-6999,6.09
1/8/2013 19:00,8.3,2.8,0,0.43,86.4,-6999,-6999,5.75
1/8/2013 20:00,8.3,1.3,0,0,90.5,-6999,-6999,5.75
1/8/2013 21:00,8.3,2.3,0,-1.71,88.8,-6999,-6999,5.74
1/8/2013 22:00,8.3,3.9,0,-45.61,81.6,-6999,-6999,5.41
1/8/2013 23:00,8.3,5,0,-50.28,73.2,-6999,-6999,5.41
1/9/2013 0:00,8.3,4.2,0,-60.51,75.4,-6999,-6999,5.75
1/9/2013 1:00,8.3,5.3,0,-56.25,69.26,-6999,-6999,5.75
1/9/2013 2:00,8.3,5.5,0,-46.23,67.33,-6999,-6999,5.77
1/9/2013 3:00,8.3,5.7,0,-23.65,65.98,-6999,-6999,5.44
1/9/2013 4:00,8.3,5.9,0,-44.52,64.75,-6999,-6999,5.45
1/9/2013 5:00,8.3,6.2,0,-39.41,62.9,-6999,-6999,5.45
1/9/2013 6:00,8.3,6.1,0,-12.14,63.61,-6999,-6999,5.11
1/9/2013 7:00,8.3,6.2,0,-7.67,63.02,-6999,-6999,5.11
1/9/2013 8:00,8.3,6.9,0,-8.52,59.23,-6999,-6999,4.43
1/9/2013 9:00,8.3,7,14.27,3.62,58.54,-6999,-6999,4.78
1/9/2013 10:00,8.3,7.2,43.47,14.48,57.6,-6999,-6999,4.1
1/9/2013 11:00,8.3,7.9,102.6,30.66,53.02,-6999,-6999,3.78
1/9/2013 12:00,8.3,8.3,167.6,64.94,49.78,-6999,-6999,2.76
1/9/2013 13:00,8.3,8.8,198,79,46.1,-6999,-6999,1.91
1/9/2013 14:00,8.3,8.5,146.3,43.85,47.45,-6999,-6999,1.06
1/9/2013 15:00,8.3,8.5,99.1,25.76,46.61,-6999,-6999,1.06
1/9/2013 16:00,8.3,8.4,50.6,3.62,45.77,-6999,-6999,0.72
1/9/2013 17:00,8.3,8.4,10.01,-21.29,44.33,-6999,-6999,0.21
1/9/2013 18:00,8.3,8.8,0,-21.72,41.04,-6999,-6999,0
1/9/2013 19:00,8.3,8.7,0,-10.22,40.79,-6999,-6999,0
1/9/2013 20:00,8.3,4,0,-15.97,67.81,-6999,-6999,0
1/9/2013 21:00,8.3,1.3,0,-11.93,83.9,-6999,-6999,0
1/9/2013 22:00,8.3,1.2,0,-17.69,83.7,-6999,-6999,0
1/9/2013 23:00,8.3,2.6,0,-8.52,74.8,-6999,-6999,0
1/10/2013 0:00,8.3,1.6,0,-3.84,80.8,-6999,-6999,0
1/10/2013 1:00,9.3,-0.5,0,-3.2,95.9,-6999,-6999,0
1/10/2013 2:00,10.2,-1.9,0,-1.28,100,-6999,-6999,0
1/10/2013 3:00,10.7,-2.4,0,0.43,100,-6999,-6999,0.25
1/10/2013 4:00,11.2,-2.5,0,-0.43,100,-6999,-6999,0
1/10/2013 5:00,12.1,-2.6,0,-2.13,100,-6999,-6999,1.25
1/10/2013 6:00,13.1,-3.3,0,-1.49,95.6,-6999,-6999,1.25
1/10/2013 7:00,13.9,-3.8,0,-4.48,89.1,-6999,-6999,2.95
1/10/2013 8:00,14.2,-4.2,0.11,-1.92,88.5,-6999,-6999,1.59
1/10/2013 9:00,14.3,-4.9,12.05,-0.43,87.4,-6999,-6999,0
1/10/2013 10:00,15,-5.1,57.87,15.79,87.6,-6999,-6999,5.48
1/10/2013 11:00,16.7,-4.9,111.6,2.56,88.8,-6999,-6999,4.81
1/10/2013 12:00,17.9,-4.9,157.7,-15.36,89.9,-6999,-6999,10.27
1/10/2013 13:00,18.4,-4.8,281.8,-7.04,90.6,-6999,-6999,11.8
1/10/2013 14:00,18.7,-4.7,204.1,-2.77,91.1,-6999,-6999,11.12
1/10/2013 15:00,18.9,-4.7,291.4,28.37,90.9,-6999,-6999,13
1/10/2013 16:00,19.1,-4.8,90.3,4.05,91.2,-6999,-6999,13.51
1/10/2013 17:00,19.3,-5.1,17.05,-0.85,89,-6999,-6999,13.16
1/10/2013 18:00,19.4,-5.4,0.05,-6.61,87.8,-6999,-6999,13.82
1/10/2013 19:00,19.4,-5.6,0,-8.11,88.8,-6999,-6999,13.81
1/10/2013 20:00,19.4,-5.6,0,-8.75,91.4,-6999,-6999,13.13
1/10/2013 21:00,19.4,-5.7,0,-9.81,91.2,-6999,-6999,12.96
1/10/2013 22:00,19.5,-5.8,0,-3.63,90.7,-6999,-6999,12.96
1/10/2013 23:00,19.5,-5.9,0,-3.84,90.7,-6999,-6999,12.45
1/11/2013 0:00,19.6,-6.1,0,-13.66,89.7,-6999,-6999,12.96
1/11/2013 1:00,19.6,-6.2,0,-8.54,90,-6999,-6999,12.79
1/11/2013 2:00,19.6,-6.2,0,-3.63,92.8,-6999,-6999,12.45
1/11/2013 3:00,19.6,-6.3,0,-4.48,94.4,-6999,-6999,12.11
1/11/2013 4:00,19.6,-6.5,0,-4.27,94.3,-6999,-6999,13.13
1/11/2013 5:00,19.6,-6.4,0,-10.03,89,-6999,-6999,13.3
1/11/2013 6:00,19.6,-6.5,0,-25.82,88.2,-6999,-6999,13.3
1/11/2013 7:00,19.6,-6.9,0,-23.05,87.7,-6999,-6999,13.13
1/11/2013 8:00,19.6,-6.8,0.26,-13.23,80.6,-6999,-6999,13.13
1/11/2013 9:00,19.6,-6.5,32.54,-11.95,75.5,-6999,-6999,13.13
1/11/2013 10:00,19.6,-6.4,110.7,-3.84,68.71,-6999,-6999,12.79
1/11/2013 11:00,19.6,-6,266.3,52.49,65.74,-6999,-6999,12.79
1/11/2013 12:00,19.6,-5.7,384.6,50.34,63.68,-6999,-6999,12.48
1/11/2013 13:00,19.6,-5.7,413.3,49.91,66.05,-6999,-6999,11.97
1/11/2013 14:00,19.6,-5.7,302.5,45.43,72.3,-6999,-6999,12.15
1/11/2013 15:00,19.6,-6,187.7,13.22,74.9,-6999,-6999,12.15
1/11/2013 16:00,19.6,-6.4,63.63,-26.88,77.5,-6999,-6999,12.14
1/11/2013 17:00,19.6,-7.4,14.2,-46.1,77.9,-6999,-6999,12.11
1/11/2013 18:00,19.6,-7.8,0.21,-46.11,73,-6999,-6999,12.08
1/11/2013 19:00,19.6,-7.6,0,-56.15,71.7,-6999,-6999,11.74
1/11/2013 20:00,19.6,-9,0,-43.13,76.4,-6999,-6999,11.74
1/11/2013 21:00,19.6,-9.9,0,-47.84,76.9,-6999,-6999,11.53
1/11/2013 22:00,19.6,-10.8,0,-47.21,73.8,-6999,-6999,11.51
1/11/2013 23:00,19.6,-10.9,0,-51.07,64.88,-6999,-6999,11.5
1/12/2013 0:00,19.6,-12.1,0,-38.89,74.5,-6999,-6999,11.5
1/12/2013 1:00,19.6,-12.5,0,-45.52,65.08,-6999,-6999,11.32
1/12/2013 2:00,19.6,-13,0,-32.27,68.94,-6999,-6999,11.32
1/12/2013 3:00,19.6,-14,0,-35.48,74.4,-6999,-6999,11.3
1/12/2013 4:00,19.6,-13.6,0,-46.6,72.8,-6999,-6999,11.3
1/12/2013 5:00,19.6,-14.2,0,-37.83,74.6,-6999,-6999,11.29
1/12/2013 6:00,19.6,-14,0,-42.75,73.3,-6999,-6999,10.97
1/12/2013 7:00,19.6,-14.1,0,-40.83,72.9,-6999,-6999,11.14
1/12/2013 8:00,19.6,-14.4,0.13,-41.47,73.6,-6999,-6999,10.96
1/12/2013 9:00,19.6,-14.3,21.48,-34.63,74.2,-6999,-6999,11.13
1/12/2013 10:00,19.6,-13.7,174.9,13.25,70.5,-6999,-6999,10.81
1/12/2013 11:00,19.6,-11.3,307.7,73.7,64.55,-6999,-6999,10.35
1/12/2013 12:00,19.6,-8.8,391.3,120.6,64.19,-6999,-6999,10.75
1/12/2013 13:00,19.6,-9,416.4,106.3,68.18,-6999,-6999,9.39
1/12/2013 14:00,19.6,-8.5,395.3,93.9,67.08,-6999,-6999,9.41
1/12/2013 15:00,19.6,-8.2,311.2,74.4,66.12,-6999,-6999,10.27
1/12/2013 16:00,19.6,-8.5,175.9,17.49,67.82,-6999,-6999,10.27
1/12/2013 17:00,19.6,-10.1,36.38,-26.46,78.3,-6999,-6999,10.39
1/12/2013 18:00,19.6,-12.1,0.24,-33.53,84,-6999,-6999,10.34
