2013 Treeline Meterological Hourly Data (Summary),,,,,,,,,
,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,
 ,[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University,,,,,,,
 ,URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,Column.Variable-units| Description,,,,,,,,
 ,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,
 ,2. Precipitation-mm| Cumulative Shielded Rain gage depth [mm],,,,,,,,
 ,3. AirTemperature-C| Air Temperature at 2m above ground Averaged [C]],,,,,,,,
 ,4. SolarRadiation-Watts/m2| Solar Radiation Averaged [Watts/m2],,,,,,,,
 ,5. Net Radiation-Watts/m2| Net Radiation Averaged [Watts/m2],,,,,,,,
 ,6. Relative Humidity-percent| Relative Humidity at 2m above ground Averaged [percent],,,,,,,,
 ,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,
 ,8. Wind Speed-m/s| Wind Speed at 2m above ground Averaged [m/s],,,,,,,,
 ,9.Snow Depth-cm| Filtered depth of snow above ground Acoustic Sensor [cm],,,,,,,,
 ,Note: -6999 denotes missing data,,,,,,,,
,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,
2/4/2013 23:00,77.5,3.7,1.17,-1.06,53.83,52.5,2.18,37.55,
2/5/2013 0:00,77.5,3.9,1.94,-7.2,51.57,57.2,3.11,37.51,
2/5/2013 1:00,77.5,4,2.34,9.31,53.01,84.7,5.51,37.47,
2/5/2013 2:00,77.5,4.2,2.34,-6.35,46.29,85,8.61,37.45,
2/5/2013 3:00,77.5,3.7,2.34,-4.66,54.57,86.3,5.62,37.43,
2/5/2013 4:00,77.5,3.3,2.34,-22.86,61.92,82.3,7.45,37.42,
2/5/2013 5:00,77.5,3.4,2.35,-17.57,64.59,82.3,7.66,37.4,
2/5/2013 6:00,77.5,3.5,2.35,-32.18,62.22,83.8,8.11,37.37,
2/5/2013 7:00,77.5,3.4,2.35,-31.76,57.47,79.8,4.41,37.32,
2/5/2013 8:00,77.5,3.2,5,-33.88,56.65,81.1,4.35,37.24,
2/5/2013 9:00,77.5,3.2,80.1,-10.8,55.42,83.2,7.19,37.13,
2/5/2013 10:00,77.5,3.8,153.5,-2.33,55.67,95.8,4.12,37,
2/5/2013 11:00,77.5,4.4,474.4,38.52,54.37,99.7,6.41,36.85,
2/5/2013 12:00,77.5,5.4,323.8,46.55,53.82,166,2.44,36.72,
2/5/2013 13:00,77.5,3.8,286.9,13.96,61.63,110.6,3.07,36.59,
2/5/2013 14:00,77.5,5,394.5,60.52,55.78,118.1,2.33,36.49,
2/5/2013 15:00,77.5,6,367.8,56.7,49.44,194.1,1.63,36.4,
2/5/2013 16:00,77.5,5.6,237.7,50.35,51.76,179.9,1.54,36.34,
2/5/2013 17:00,77.5,4.8,107.8,-24.12,55.74,206.9,1.07,36.31,
2/5/2013 18:00,77.5,3.1,14.31,-39.37,62.53,329.6,0.85,36.28,
2/5/2013 19:00,77.5,1.8,0,-40.23,69.47,309.3,1.1,36.26,
2/5/2013 20:00,77.5,1.4,0,-44.91,71.5,323.4,1.24,36.24,
2/5/2013 21:00,77.5,1.2,0.95,-26.9,70.8,329.6,1.81,36.22,
2/5/2013 22:00,77.5,1.2,0.85,-13.56,70.4,295,2.79,36.19,
2/5/2013 23:00,77.5,-0.3,0,-38.13,83.1,12.9,1.87,36.15,
2/6/2013 0:00,77.5,0.7,2.35,-5.51,72.1,299.8,5.1,36.11,
2/6/2013 1:00,77.5,-0.3,1.82,-41.31,77.6,300.9,3.03,36.07,
2/6/2013 2:00,77.5,-1.1,0.47,-49.57,84.7,308,3.93,36.06,
2/6/2013 3:00,77.5,-1.9,0,-27.54,90.8,84.9,2.28,36.06,
2/6/2013 4:00,77.5,-2.1,0,-48.31,91.5,308.8,1.94,36.05,
2/6/2013 5:00,77.5,-2.2,0,-40.26,88.7,339.6,2.16,36.04,
2/6/2013 6:00,77.5,-2.5,0,-6.78,89.1,345.3,2.83,36.01,
2/6/2013 7:00,77.5,-2.2,0,-22.88,82.9,302.1,4.85,35.96,
2/6/2013 8:00,77.5,-2.8,4.21,-46.61,85.5,305.3,4.36,35.88,
2/6/2013 9:00,77.5,-3.2,70.4,17.17,84.8,328.9,1.79,35.78,
2/6/2013 10:00,77.5,-2.5,384.5,-5.09,80.7,3.1,2.6,35.65,
2/6/2013 11:00,77.5,0.1,532.2,55.5,67.98,321.2,2.83,35.54,
2/6/2013 12:00,77.5,1.9,650.3,132.5,62.5,187.9,2.28,35.45,
2/6/2013 13:00,77.5,1.2,712,211.2,68.9,167.4,2.47,35.4,
2/6/2013 14:00,77.5,1.6,690.6,107.5,72,192.6,2.32,35.37,
2/6/2013 15:00,77.5,0.8,573.7,194,77.2,168.9,2.04,35.37,
2/6/2013 16:00,77.5,0.8,252.8,50.37,68.68,184.2,1.87,35.39,
2/6/2013 17:00,77.5,-0.5,73.7,-38.96,69.82,172.4,1.71,35.45,
2/6/2013 18:00,77.5,-0.9,12.99,-50.84,70.6,24.7,1.83,35.52,
2/6/2013 19:00,77.5,-1.4,0,-43.65,58.6,47.1,1.81,35.59,
2/6/2013 20:00,77.5,-1.1,0,-17.37,54.41,71.2,4.31,35.64,
2/6/2013 21:00,77.5,-1.1,0,-31.99,54.47,82.9,8.51,35.67,
2/6/2013 22:00,77.5,-1,0,-29.24,57.45,80.5,9.54,35.67,
2/6/2013 23:00,77.5,-0.9,0,-17.8,62.01,91.5,11.27,35.65,
2/7/2013 0:00,77.5,-0.7,0,-22.46,64.64,88.2,11.65,35.6,
2/7/2013 1:00,77.5,-0.5,0,-27.75,64.33,89.2,12.03,35.56,
2/7/2013 2:00,77.5,-0.3,0,-2.75,62.75,85.9,13.19,35.52,
2/7/2013 3:00,77.5,-0.4,0,-8.47,61.09,87.3,15.05,35.5,
2/7/2013 4:00,77.5,-0.2,0,-16.1,59.31,87.3,14.63,35.48,
2/7/2013 5:00,77.5,-0.2,0,-21.61,56.59,89,14.54,35.45,
2/7/2013 6:00,77.5,-0.1,0,-18.64,54.55,91.2,14.43,35.4,
2/7/2013 7:00,77.5,-0.2,0,-13.98,53.89,88.8,14.58,35.35,
2/7/2013 8:00,77.5,0,2.83,-8.05,52.95,88,14.28,35.29,
2/7/2013 9:00,77.5,0,44.86,-5.3,53.09,86.6,13.27,35.23,
2/7/2013 10:00,77.5,0.4,111.5,-3.18,51.21,87.8,12.57,35.17,
2/7/2013 11:00,77.5,0.8,217.4,20.33,49.23,96.4,11.47,35.11,
2/7/2013 12:00,77.5,1.1,280.3,-0.21,49.16,106.6,8.5,35.05,
2/7/2013 13:00,77.5,0.8,238.8,28.8,57.12,134.6,3.98,35,
2/7/2013 14:00,77.5,0.6,276.9,38.53,65.56,186.4,1.38,34.97,
2/7/2013 15:00,77.5,0.4,308.3,63.94,64.18,151.8,3.43,34.95,
2/7/2013 16:00,77.5,0.9,169.8,35.57,62.24,165.6,3.32,34.96,
2/7/2013 17:00,77.5,0.9,109.6,9.74,62.85,157.5,3.05,34.96,
2/7/2013 18:00,77.5,0.3,8.3,-8.89,69.82,261.8,1.24,34.98,
2/7/2013 19:00,77.5,-0.8,0,-10.16,75.9,308.3,1.12,34.99,
2/7/2013 20:00,77.5,-1.2,0,-45.33,77.6,332.8,1.86,34.98,
2/7/2013 21:00,77.5,-1.7,0,-10.38,79.1,335,3.38,34.98,
2/7/2013 22:00,77.5,-2,0,-10.38,81.9,12.1,6.04,35,
2/7/2013 23:00,77.5,-2,0,-30.72,81.6,14.9,6,35.06,
2/8/2013 0:00,77.5,-1.9,0,-17.16,82.2,7.8,6.57,35.16,
2/8/2013 1:00,77.5,-1.9,0,-28.81,81.8,15.7,5.61,35.3,
2/8/2013 2:00,77.5,-1.9,0,-4.24,80.4,16.2,4.41,35.51,
2/8/2013 3:00,78,-2.4,0,-10.59,87,14.6,4.43,35.81,
2/8/2013 4:00,78.5,-3,0,-4.66,96.6,356.9,7.26,36.1,
2/8/2013 5:00,78.5,-3,0,-7.2,98.5,4.4,7.01,36.4,
2/8/2013 6:00,78.6,-3,0,-4.45,97.6,344.4,4.99,36.67,
2/8/2013 7:00,78.6,-3.5,0,-14.41,99.5,22.5,5.45,36.85,
2/8/2013 8:00,78.6,-3.9,4.9,-41.95,99,6.9,8.05,36.95,
2/8/2013 9:00,78.6,-3.6,89.3,-21.61,95.2,2.5,7.04,36.99,
2/8/2013 10:00,78.6,-3.9,395.6,-19.49,97.7,31.5,7.46,36.99,
2/8/2013 11:00,78.6,-3.1,504.6,40.25,94.3,5.4,7.12,36.93,
2/8/2013 12:00,78.6,-1.7,639.9,113.7,82.3,349.4,5.92,36.81,
2/8/2013 13:00,78.6,-1.8,668.2,124.9,80.2,6.4,7.64,36.63,
2/8/2013 14:00,78.6,-1.3,679.9,160.1,78.7,354.8,9.32,36.49,
2/8/2013 15:00,78.6,-0.7,534.5,159.7,71.5,336.9,8.44,36.4,
2/8/2013 16:00,78.6,-0.4,402.5,13.55,71.5,343.3,9.77,36.34,
2/8/2013 17:00,78.6,-0.8,125,-13.98,72.9,341.3,6.82,36.26,
2/8/2013 18:00,78.6,-1,25.62,-37.92,72.8,353.2,6.9,36.17,
2/8/2013 19:00,78.6,-2.3,1.17,-43.22,78.8,10.3,10.4,36.12,
2/8/2013 20:00,78.6,-2.9,1.17,-43.22,79.6,12.6,11.14,36.08,
2/8/2013 21:00,78.6,-2.6,1.17,-47.67,72.5,5.1,11.51,36.06,
2/8/2013 22:00,78.6,-3.1,1.17,-50.43,70.1,358.2,14.12,36.03,
2/8/2013 23:00,78.6,-2.8,1.17,-48.94,65.99,5.3,14.64,35.97,
2/9/2013 0:00,78.6,-3.8,1.17,-49.59,69.66,15.4,14.57,35.9,
2/9/2013 1:00,78.6,-4.6,0,-44.09,72.1,21.1,14.09,35.81,
2/9/2013 2:00,78.6,-4.4,0,-48.75,68.63,10.9,15.36,35.71,
2/9/2013 3:00,78.6,-4.3,0.6,-46.2,66.01,8.3,16.73,35.61,
2/9/2013 4:00,78.6,-4.5,1.13,-48.32,65.27,16.9,17.26,35.52,
2/9/2013 5:00,78.6,-4.8,1.17,-51.72,65.22,4.7,16.46,35.46,
2/9/2013 6:00,78.6,-4.9,1.17,-55.53,63.64,359.4,16.16,35.42,
2/9/2013 7:00,78.6,-5.2,1.17,-49.6,63.66,4.8,15.41,35.37,
2/9/2013 8:00,78.6,-5.2,7.66,-47.48,61.2,22.3,11.35,35.29,
2/9/2013 9:00,78.6,-5,160.6,-77.6,60.21,22.9,9.73,35.18,
2/9/2013 10:00,78.6,-4.3,376.6,-13.14,56.68,11.6,10.08,35.04,
2/9/2013 11:00,78.6,-3.3,554.6,82.6,53.98,359.6,7.58,34.9,
2/9/2013 12:00,78.6,-2.5,505.9,94.3,52.88,337.7,6.37,34.74,
2/9/2013 13:00,78.6,-1.6,395.2,63.96,51.46,295.2,5.38,34.58,
2/9/2013 14:00,78.6,-2.1,633.7,202,56.7,316.4,6.9,34.39,
2/9/2013 15:00,78.6,-1.9,365.5,72,55.25,333.3,9.77,34.24,
2/9/2013 16:00,78.6,-2.5,292,100.8,63.67,336.3,11.65,34.13,
2/9/2013 17:00,78.6,-2.3,113.1,-11.86,70.6,293.8,9.08,34.04,
2/9/2013 18:00,78.6,-3.1,15.59,-47.03,75.4,313.3,8.28,33.97,
2/9/2013 19:00,78.6,-3.8,0,-50.01,79.6,323.6,6.76,33.96,
2/9/2013 20:00,78.6,-4,1.15,-42.81,80.9,314.4,6.83,34,
2/9/2013 21:00,78.6,-4.1,1.17,-47.9,82.2,326,6.73,34.08,
2/9/2013 22:00,78.6,-4.2,1.17,-47.05,83.4,336.9,7.14,34.17,
2/9/2013 23:00,78.6,-4.7,1.17,-44.51,86.4,357,6.47,34.24,
2/10/2013 0:00,78.6,-4.9,1.17,-52.14,87.6,345.9,7.6,34.31,
2/10/2013 1:00,78.6,-4.9,1.2,-53.84,80.8,355.2,6.08,34.37,
2/10/2013 2:00,78.6,-5.2,1.17,-50.45,80.8,353.1,10.04,34.44,
2/10/2013 3:00,78.6,-5.4,1.17,-46.21,73.4,32.5,10.79,34.52,
2/10/2013 4:00,78.6,-4.8,1.17,-40.91,60.22,40.9,13.12,34.6,
2/10/2013 5:00,78.6,-3.9,1.17,-47.05,50,40.6,16.05,34.68,
2/10/2013 6:00,78.6,-4.3,1.17,-45.15,52.37,34.3,12.75,34.75,
2/10/2013 7:00,78.6,-4.5,1.17,-50.02,51.7,18.7,10.2,34.78,
2/10/2013 8:00,78.6,-4.4,8.71,-48.11,49.53,31,10.96,34.77,
2/10/2013 9:00,78.6,-4,166.5,-78,46.35,28.3,9.72,34.73,
2/10/2013 10:00,78.6,-2.6,386.5,-42.37,38.25,39.2,7.77,34.67,
2/10/2013 11:00,78.6,-1.9,561.6,40.68,35.82,37.2,7.15,34.6,
2/10/2013 12:00,78.6,-0.6,675.6,132.2,34.01,27,4.82,34.52,
2/10/2013 13:00,78.6,-0.3,721,174.1,33.53,338.3,5.03,34.42,
2/10/2013 14:00,78.6,0.2,674,188,34.13,311.4,5.44,34.33,
2/10/2013 15:00,78.6,0.2,642.7,234.1,33.79,306.2,5.74,34.26,
2/10/2013 16:00,78.6,-0.1,172.2,127.9,38.97,315.7,6.7,34.22,
2/10/2013 17:00,78.6,-0.9,58.31,-48.28,48.49,318.3,6.29,34.21,
2/10/2013 18:00,78.6,-1.8,15.45,-49.57,58.11,338.2,5.39,34.23,
2/10/2013 19:00,78.6,-2.9,1.71,-54.45,64.43,347.5,6.99,34.27,
2/10/2013 20:00,78.6,-3.2,1.17,-50.44,64.86,0.4,6.42,34.31,
2/10/2013 21:00,78.6,-4.1,0,-48.11,62.39,44.6,5.47,34.34,
2/10/2013 22:00,78.6,-3.5,0,-51.93,41.73,43.9,4.93,34.36,
2/10/2013 23:00,78.6,-4,0,-36.46,44.18,325.6,3.23,34.37,
2/11/2013 0:00,78.6,-4.1,0,-50.87,41.91,328.9,4.9,34.38,
2/11/2013 1:00,78.6,-4.2,0,-51.3,40.2,36.9,5.53,34.4,
2/11/2013 2:00,78.6,-4.7,0,-47.91,40.18,35.9,3.2,34.41,
2/11/2013 3:00,78.6,-4.3,0,-45.37,36.73,40.2,5.76,34.44,
2/11/2013 4:00,78.6,-4.5,0,-40.28,37.62,343.2,3.62,34.46,
2/11/2013 5:00,78.6,-5.2,0,-40.29,39.86,349.7,1.34,34.48,
2/11/2013 6:00,78.6,-5.2,0,-38.59,39.76,316.1,1.32,34.48,
2/11/2013 7:00,78.6,-5.1,0,-34.78,41.54,326.8,1.56,34.44,
2/11/2013 8:00,78.6,-5.3,8.4,-34.78,43.51,311.8,2.8,34.36,
2/11/2013 9:00,78.6,-5.9,94.5,-19.51,55.27,311.3,2.68,34.24,
2/11/2013 10:00,78.6,-3.4,387.7,8.48,47.79,281.2,1.57,34.08,
2/11/2013 11:00,78.6,-0.6,564.6,67.79,41.38,200.5,1.74,33.93,
2/11/2013 12:00,78.6,-0.2,682.9,148.2,45.93,184,2.12,33.8,
2/11/2013 13:00,78.6,-0.4,723,163.8,46.19,150.9,2.4,33.7,
2/11/2013 14:00,78.6,-1,685.6,201.3,52.24,170.4,3.07,33.64,
2/11/2013 15:00,78.6,-1.3,576.1,194.3,56.13,271,4.71,33.63,
2/11/2013 16:00,78.6,-1.4,263.3,126.2,56.92,294.6,4.28,33.68,
2/11/2013 17:00,78.6,-2,65.45,-40.25,56.14,355.2,4.36,33.77,
2/11/2013 18:00,78.6,-2.4,20.33,-45.76,57.12,349.4,6.06,33.9,
2/11/2013 19:00,78.6,-3.3,3.49,-43.66,63.12,26.8,5.71,34.03,
2/11/2013 20:00,78.6,-3.2,3.52,-31.79,62.86,29.8,6.41,34.15,
2/11/2013 21:00,78.6,-2.5,3.52,-27.55,60.41,5.3,5.25,34.25,
2/11/2013 22:00,78.6,-2.2,3.52,-41.95,60.22,349.9,5.81,34.33,
2/11/2013 23:00,78.6,-2,3.52,-41.52,63.81,344.2,7.48,34.36,
2/12/2013 0:00,78.6,-2.1,3.52,-41.31,66.98,9,4.52,34.37,
2/12/2013 1:00,78.6,-1.9,3.52,-44.07,69.41,344.8,4.92,34.36,
2/12/2013 2:00,78.6,-2.2,3.52,-42.38,71.8,357.4,2.71,34.35,
2/12/2013 3:00,78.6,-2.6,3.52,-34.55,74.7,348.1,2.29,34.35,
2/12/2013 4:00,78.6,-2.6,3.52,-26.28,76.1,319.2,2.32,34.33,
2/12/2013 5:00,78.6,-2.6,3.52,-13.35,76.7,345.1,1.91,34.29,
2/12/2013 6:00,78.6,-2.2,3.52,-21.19,78.1,342.5,5.16,34.25,
2/12/2013 7:00,78.6,-1.9,3.52,-20.76,79.5,335.7,4.41,34.18,
2/12/2013 8:00,78.6,-2.3,7.49,-2.75,81.5,331,2.49,34.11,
2/12/2013 9:00,78.6,-2.2,93.7,8.9,82.1,7.5,2.58,34.02,
2/12/2013 10:00,78.6,-1.3,222.5,30.51,77.1,167.8,1.38,33.94,
2/12/2013 11:00,78.6,-0.3,254.2,45.32,72.9,210.2,1.54,33.87,
2/12/2013 12:00,78.6,-0.8,358.5,68.61,78.4,280.9,2.84,33.83,
2/12/2013 13:00,78.6,-0.2,399.5,83.8,77.1,289.8,4.6,33.82,
2/12/2013 14:00,78.6,-0.3,312,76.6,77.4,288.4,4.59,33.83,
2/12/2013 15:00,78.6,-0.1,354.3,89.6,73.3,303.5,5.19,33.86,
2/12/2013 16:00,78.6,0.1,267.1,108.4,73.4,308.7,4.33,33.91,
2/12/2013 17:00,78.6,0,119.7,-19.06,69.96,335.7,6.05,33.98,
2/12/2013 18:00,78.6,-1,24.35,-36.42,74.3,9.7,7.85,34.05,
2/12/2013 19:00,78.6,-1.6,2.35,-44.49,78.5,31.7,7.95,34.12,
2/12/2013 20:00,78.6,-1.2,2.35,-47.88,72.7,359.2,7.87,34.18,
2/12/2013 21:00,78.6,-0.9,2.35,-43.64,71.2,349.5,7.5,34.23,
2/12/2013 22:00,78.6,-0.8,2.35,-40.25,72,344.5,5.7,34.27,
2/12/2013 23:00,78.6,-0.3,2.35,-1.91,72.9,334.9,5.33,34.29,
2/13/2013 0:00,78.6,-0.2,2.35,-3.6,74,325.6,3.78,34.3,
2/13/2013 1:00,78.6,0.1,2.35,-4.66,76.1,336.1,3.64,34.3,
2/13/2013 2:00,78.6,0.1,2.35,-11.86,80.4,321.2,3.74,34.29,
2/13/2013 3:00,78.6,0.2,2.35,-8.9,78.5,308.8,3.81,34.29,
2/13/2013 4:00,78.6,-0.5,2.35,-45.97,80.7,298.2,2.81,34.3,
2/13/2013 5:00,78.6,-0.6,3.05,-1.91,84.9,300.7,4.09,34.31,
2/13/2013 6:00,78.6,-0.4,3,-4.24,84.7,320.6,3.42,34.32,
2/13/2013 7:00,78.6,-0.8,3.01,-9.32,87.3,290.7,3.65,34.32,
2/13/2013 8:00,78.6,-1,10.35,-1.48,87.8,293.9,5.02,34.3,
2/13/2013 9:00,78.6,-0.8,69.46,16.1,86.2,309.2,4.93,34.24,
2/13/2013 10:00,78.6,-0.2,165.4,31.34,81.4,299.4,3.6,34.15,
2/13/2013 11:00,78.6,0.2,307.1,68.18,79.2,287.6,5.06,34.03,
2/13/2013 12:00,78.6,0.9,302.2,52.94,77.8,265.9,4.77,33.9,
2/13/2013 13:00,78.6,1.3,434.8,73.7,76.4,277.6,4.85,33.75,
2/13/2013 14:00,78.6,1.7,442.3,134.6,75.2,272.7,5.34,33.61,
2/13/2013 15:00,78.6,2,534.8,142.2,74,275.2,5.26,33.49,
2/13/2013 16:00,78.6,2.2,270.2,59.47,73,278.5,5.5,33.4,
2/13/2013 17:00,78.6,1.8,128.2,-8.04,71.8,301.7,4.94,33.33,
2/13/2013 18:00,78.6,1.6,25.64,-29.22,69.06,328.5,6.33,33.29,
2/13/2013 19:00,78.6,1.1,1.54,-15.25,72.4,331.4,4.97,33.29,
2/13/2013 20:00,78.6,1.1,1.59,-13.98,73.2,336.7,5.18,33.32,
2/13/2013 21:00,78.6,1,1.19,-38.75,74.1,311,4.38,33.34,
2/13/2013 22:00,78.6,0.5,1.41,-47.86,76.7,300.1,5.57,33.36,
2/13/2013 23:00,78.6,-0.2,1.17,-46.18,78.2,337.7,6.2,33.37,
2/14/2013 0:00,78.6,-0.7,1.17,-46.61,79.2,342.8,9.82,33.35,
2/14/2013 1:00,78.6,-1.3,2.35,-52.12,81.9,356.3,7.9,33.34,
2/14/2013 2:00,78.6,-1.7,2.35,-47.46,84.6,12.3,6.8,33.33,
2/14/2013 3:00,78.6,-1.6,2.35,-50.85,82.7,0.1,5,33.32,
2/14/2013 4:00,78.6,-1.7,2.35,-49.79,83.1,359.8,5.14,33.31,
2/14/2013 5:00,78.6,-1.9,2.35,-50.42,83.7,343.7,6.5,33.3,
2/14/2013 6:00,78.6,-2.2,2.35,-54.87,84.1,347,8,33.27,
2/14/2013 7:00,78.6,-2.4,2.35,-51.27,84.8,17.8,7.05,33.22,
2/14/2013 8:00,78.6,-2.1,13.57,-49.15,76.7,12.6,6.99,33.15,
2/14/2013 9:00,78.6,-0.9,185.1,-58.9,67.52,359.3,4.51,33.05,
2/14/2013 10:00,78.6,-0.2,348.4,11.86,70,338,3.59,32.95,
2/14/2013 11:00,78.6,2,560.2,78.3,65.92,175.9,1.79,32.86,
2/14/2013 12:00,78.6,2.5,669.8,146.7,64.94,291.6,2.48,32.79,
2/14/2013 13:00,78.6,2.2,858,241.9,69.75,317,3.55,32.75,
2/14/2013 14:00,78.6,1.2,694.6,219.5,69.91,291.7,4.74,32.74,
2/14/2013 15:00,78.6,1.7,594.4,176.5,65.66,273.6,5.73,32.77,
2/14/2013 16:00,78.6,1.5,389.9,133.3,64.57,288.8,4.7,32.82,
2/14/2013 17:00,78.6,0.9,74.4,-48.27,62.61,307.7,5.78,32.86,
2/14/2013 18:00,78.6,0.2,20.78,-47.86,69.28,328.2,5.49,32.89,
2/14/2013 19:00,78.6,-0.9,2.35,-48.72,74.7,7.5,3.16,32.89,
2/14/2013 20:00,78.6,-0.9,2.35,-37.29,65.12,12.5,6.44,32.85,
2/14/2013 21:00,78.6,-0.6,2.35,-42.16,58.67,15.6,7.71,32.79,
2/14/2013 22:00,78.6,0,2.35,-45.12,54.75,359.9,8.1,32.71,
2/14/2013 23:00,78.6,0,2.35,-43.64,58.3,17.2,6.01,32.61,
2/15/2013 0:00,78.6,-0.3,2.35,-44.06,62.92,14.3,5.09,32.51,
2/15/2013 1:00,78.6,-0.4,2.35,-46.61,65.42,4.5,5.68,32.43,
2/15/2013 2:00,78.6,-0.3,2.35,-47.88,69.18,351.7,6.38,32.39,
2/15/2013 3:00,78.6,-0.9,2.35,-47.03,72.5,22.5,6.02,32.38,
2/15/2013 4:00,78.6,-0.4,2.35,-47.03,69.26,3.9,5.4,32.4,
2/15/2013 5:00,78.6,-0.5,2.35,-46.61,67.53,17.4,4.58,32.42,
2/15/2013 6:00,78.6,-0.3,2.35,-45.76,67.09,18.2,5.82,32.43,
2/15/2013 7:00,78.6,-0.6,2.35,-45.34,68.38,21.3,5.98,32.41,
2/15/2013 8:00,78.6,-0.8,20.03,-41.52,70.4,30.4,6.49,32.35,
2/15/2013 9:00,78.6,0.1,152.7,-49.57,66.85,26,6.74,32.24,
2/15/2013 10:00,78.6,1.9,377.6,2.75,59.27,19.3,6.79,32.13,
2/15/2013 11:00,78.6,3.6,589.6,90.6,52.34,15.1,5.24,32.02,
2/15/2013 12:00,78.6,4.4,705,159.1,57.22,186.3,2.37,31.95,
2/15/2013 13:00,78.6,5.3,749,205.2,54.63,192.1,1.95,31.92,
2/15/2013 14:00,78.6,5.7,716,218.1,54.06,175,2.2,31.95,
2/15/2013 15:00,78.6,5.3,612.8,204.7,56.35,177.2,2.28,32.03,
2/15/2013 16:00,78.6,5.4,434.9,144.4,59.07,161.1,2.03,32.16,
2/15/2013 17:00,78.6,4.1,77.6,-48.25,64.18,174.2,1.9,32.31,
2/15/2013 18:00,78.6,3.7,22.86,-47.84,66.51,158.4,1.7,32.47,
2/15/2013 19:00,78.6,2.5,3.52,-49.97,71,21.5,2.18,32.6,
2/15/2013 20:00,78.6,2.1,2.35,-45.74,69.23,4.6,1.91,32.7,
2/15/2013 21:00,78.6,2.3,2.35,-46.18,63.75,21.6,1.41,32.75,
2/15/2013 22:00,78.6,2.1,2.35,-46.18,69.36,19.9,0.81,32.76,
2/15/2013 23:00,78.6,2.8,2.35,-44.06,64.36,57.1,2.58,32.74,
2/16/2013 0:00,78.6,2.9,2.35,-21.81,56.29,37.9,3.15,32.7,
2/16/2013 1:00,78.6,3.2,2.35,-42.77,55.03,59.6,2.57,32.66,
2/16/2013 2:00,78.6,3.3,2.35,-43.83,59.73,72,3.11,32.63,
2/16/2013 3:00,78.6,3,2.35,-42.35,65.55,58.4,2.64,32.61,
2/16/2013 4:00,78.6,2.8,2.35,-41.93,64.72,75.2,4.86,32.61,
2/16/2013 5:00,78.6,2.6,2.35,-42.77,65.83,80.5,3.37,32.6,
2/16/2013 6:00,78.6,2.3,2.35,-30.92,66.94,63.3,3.12,32.57,
2/16/2013 7:00,78.6,2.2,2.35,-39.39,66.36,75.5,5.9,32.49,
2/16/2013 8:00,78.6,2.2,15.5,-36.85,65.13,77.7,6.3,32.35,
2/16/2013 9:00,78.6,3.2,191.7,-54.21,59.83,92.6,6.64,32.15,
2/16/2013 10:00,78.6,4.7,422.8,30.9,54.05,120.5,4.65,31.9,
2/16/2013 11:00,78.6,6.6,593.4,96.1,50.68,193.5,2.19,31.62,
2/16/2013 12:00,78.6,6.5,717,96.7,49.49,119.3,4.84,31.33,
2/16/2013 13:00,78.6,7.3,757,210,49.27,134.4,3.42,31.08,
2/16/2013 14:00,78.6,6.5,726,236.2,53.47,155.7,3.41,30.87,
2/16/2013 15:00,78.6,7.2,628.3,211.7,50.94,146.9,3.23,30.71,
2/16/2013 16:00,78.6,7.4,404.1,117.6,52.8,169.5,3.53,30.59,
2/16/2013 17:00,78.7,6.7,99.3,-30.89,53.83,166.6,3.28,30.52,
2/16/2013 18:00,78.7,6.1,28.37,-44.02,52.57,180.6,1.91,30.47,
2/16/2013 19:00,78.8,4.9,3.52,-33.87,52.28,71.9,2.37,30.43,
2/16/2013 20:00,78.8,5,3.17,-25.83,51.86,167.8,2.11,30.42,
2/16/2013 21:00,78.8,5,3.52,-4.02,54.64,153.1,1.69,30.42,
2/16/2013 22:00,78.9,3.7,4.3,-36.41,66.16,301.5,4.52,30.43,
2/16/2013 23:00,80.2,-0.2,2.35,-12.7,94.9,340.2,9.09,30.45,
2/17/2013 0:00,81.2,-1.8,0,-39.82,99.1,328.2,5.53,30.51,
2/17/2013 1:00,81.3,-1.8,0.17,-68.21,94.7,338.4,8.23,30.55,
2/17/2013 2:00,81.3,-2.3,0,-56.78,93.5,338.4,7.25,30.59,
2/17/2013 3:00,81.3,-3,0,-66.53,92.6,329.9,4.04,30.64,
2/17/2013 4:00,81.3,-3.2,0,-47.89,83.9,344.4,5.72,30.69,
2/17/2013 5:00,81.3,-3.7,0,-69.31,83.9,335,6.16,30.75,
2/17/2013 6:00,81.3,-4.3,0,-54.68,75.3,335.3,6.19,30.79,
2/17/2013 7:00,81.3,-4.9,0,-72.1,79.4,346.1,7.3,30.84,
2/17/2013 8:00,81.3,-5,11.89,-52.14,73.8,345,8.91,30.87,
