2000 Treeline Meterological Hourly Data (Summary),,,,,,,,,
,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,
,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,
01/03/2000 22:00,15.50,-2.9,-6999,-6999,99.30,174.0,0.83,16.51,
01/03/2000 23:00,15.50,-2.7,-6999,-6999,99.20,147.9,1.29,16.89,
01/04/2000 00:00,15.80,-2.5,-6999,-6999,96.20,132.7,2.45,17.09,
01/04/2000 01:00,15.80,-2.4,-6999,-6999,94.90,143.1,2.52,17.10,
01/04/2000 02:00,15.80,-2.3,-6999,-6999,95.20,131.7,3.30,17.59,
01/04/2000 03:00,15.80,-1.9,-6999,-6999,96.00,154.0,2.81,17.68,
01/04/2000 04:00,15.80,-1.3,-6999,-6999,95.80,144.4,2.83,17.88,
01/04/2000 05:00,15.80,-0.9,-6999,-6999,90.70,134.0,4.06,17.69,
01/04/2000 06:00,15.80,-1.0,-6999,-6999,90.40,135.1,4.96,17.50,
01/04/2000 07:00,15.80,0.1,-6999,-6999,79.70,156.3,3.06,17.50,
01/04/2000 08:00,15.80,-0.1,-6999,-6999,85.40,222.6,1.22,17.89,
01/04/2000 09:00,15.80,-1.4,-6999,-6999,99.70,183.3,1.47,18.47,
01/04/2000 10:00,15.80,-1.0,-6999,-6999,100.00,221.1,0.53,21.19,
01/04/2000 11:00,15.80,-1.0,-6999,-6999,99.90,230.5,0.49,21.77,
01/04/2000 12:00,15.80,-1.1,-6999,-6999,99.90,227.7,1.08,22.94,
01/04/2000 13:00,15.90,-1.1,-6999,-6999,99.80,252.0,0.76,23.91,
01/04/2000 14:00,15.90,-1.3,-6999,-6999,99.70,260.6,0.38,23.33,
01/04/2000 15:00,16.00,-1.2,-6999,-6999,99.90,288.0,1.21,23.13,
01/04/2000 16:00,16.10,-0.5,-6999,-6999,99.50,283.8,1.24,22.84,
01/04/2000 17:00,16.40,-1.0,-6999,-6999,99.30,287.8,2.16,24.10,
01/04/2000 18:00,16.70,-1.6,-6999,-6999,99.20,312.3,3.14,23.91,
01/04/2000 19:00,17.10,-2.1,-6999,-6999,97.60,319.5,3.83,24.29,
01/04/2000 20:00,17.60,-2.7,-6999,-6999,90.60,327.7,3.86,24.29,
01/04/2000 21:00,17.90,-2.8,-6999,-6999,90.80,311.6,3.58,24.28,
01/04/2000 22:00,18.30,-3.1,-6999,-6999,85.70,314.3,3.55,24.08,
01/04/2000 23:00,18.70,-3.2,-6999,-6999,88.40,314.9,2.90,24.08,
01/05/2000 00:00,33.10,-3.4,-6999,-6999,85.90,315.9,3.44,23.99,
01/05/2000 01:00,33.10,-3.7,-6999,-6999,87.30,322.4,2.59,23.70,
01/05/2000 02:00,33.20,-4.1,-6999,-6999,93.40,319.3,3.27,24.08,
01/05/2000 03:00,33.20,-4.4,-6999,-6999,93.10,315.2,3.31,24.08,
01/05/2000 04:00,33.20,-4.4,-6999,-6999,92.00,315.7,2.91,23.98,
01/05/2000 05:00,33.30,-4.7,-6999,-6999,94.20,315.3,2.62,23.98,
01/05/2000 06:00,33.30,-4.7,-6999,-6999,91.30,315.7,2.73,24.07,
01/05/2000 07:00,33.30,-4.9,-6999,-6999,93.40,312.3,3.16,24.07,
01/05/2000 08:00,33.40,-4.7,-6999,-6999,91.10,311.5,2.96,23.88,
01/05/2000 09:00,33.40,-4.9,-6999,-6999,90.40,319.5,1.75,24.07,
01/05/2000 10:00,33.40,-4.6,-6999,-6999,87.90,305.7,3.08,23.88,
01/05/2000 11:00,33.40,-4.3,-6999,-6999,87.50,316.9,2.54,23.68,
01/05/2000 12:00,33.50,-3.7,-6999,-6999,83.90,308.0,2.24,23.69,
01/05/2000 13:00,35.80,-3.5,-6999,-6999,83.60,307.6,2.48,23.70,
01/05/2000 14:00,36.80,-3.2,-6999,-6999,84.20,302.7,2.13,23.51,
01/05/2000 15:00,37.20,-2.6,-6999,-6999,78.60,312.0,2.79,23.22,
01/05/2000 16:00,37.40,-3.2,-6999,-6999,81.40,330.1,2.65,23.42,
01/05/2000 17:00,37.80,-4.4,-6999,-6999,87.10,342.5,4.11,23.50,
01/05/2000 18:00,37.80,-5.0,-6999,-6999,92.60,350.9,4.35,23.49,
01/05/2000 19:00,37.80,-5.2,-6999,-6999,89.70,4.3,4.09,23.48,
01/05/2000 20:00,37.80,-5.3,-6999,-6999,87.70,36.3,3.20,23.48,
01/05/2000 21:00,37.80,-5.3,-6999,-6999,83.60,44.8,2.43,23.48,
01/05/2000 22:00,37.80,-5.3,-6999,-6999,80.50,48.6,2.12,23.48,
01/05/2000 23:00,37.80,-5.4,-6999,-6999,79.80,22.5,2.05,23.28,
01/06/2000 00:00,38.40,-5.9,-6999,-6999,81.40,33.6,1.88,23.08,
01/06/2000 01:00,38.40,-5.6,-6999,-6999,78.40,356.8,1.17,23.18,
01/06/2000 02:00,38.40,-5.4,-6999,-6999,77.00,349.1,1.48,23.08,
01/06/2000 03:00,38.40,-5.4,-6999,-6999,78.30,345.1,1.19,23.08,
01/06/2000 04:00,38.40,-4.9,-6999,-6999,77.30,326.7,1.12,22.89,
01/06/2000 05:00,38.40,-6.0,-6999,-6999,81.80,314.8,0.51,22.89,
01/06/2000 06:00,38.40,-6.0,-6999,-6999,83.40,321.6,0.92,23.08,
01/06/2000 07:00,38.40,-5.8,-6999,-6999,79.50,334.3,1.71,23.18,
01/06/2000 08:00,38.40,-5.0,-6999,-6999,75.30,331.4,1.80,22.89,
01/06/2000 09:00,38.40,-4.9,-6999,-6999,73.80,336.4,1.57,22.69,
01/06/2000 10:00,38.40,-2.7,-6999,-6999,61.62,5.2,1.08,22.51,
01/06/2000 11:00,38.40,-0.4,-6999,-6999,52.91,338.3,0.78,22.53,
01/06/2000 12:00,38.40,0.8,-6999,-6999,49.14,224.0,0.42,22.25,
01/06/2000 13:00,38.40,0.4,-6999,-6999,53.24,222.2,0.62,22.37,
01/06/2000 14:00,38.40,-0.2,-6999,-6999,54.55,180.2,0.66,22.28,
01/06/2000 15:00,38.40,-0.2,-6999,-6999,56.54,179.3,1.04,22.57,
01/06/2000 16:00,38.40,-1.3,-6999,-6999,58.92,161.8,2.39,22.56,
01/06/2000 17:00,38.40,-1.6,-6999,-6999,49.83,148.2,3.79,22.54,
